start_time,end_time,rows_written
2019-08-01 00:00:00,2019-09-01 00:00:00,0
2019-09-01 00:00:00,2019-10-01 00:00:00,0
2019-10-01 00:00:00,2019-11-01 00:00:00,0
2019-11-01 00:00:00,2019-12-01 00:00:00,0
2019-12-01 00:00:00,2020-01-01 00:00:00,0
2020-01-01 00:00:00,2020-02-01 00:00:00,4
2020-02-01 00:00:00,2020-03-01 00:00:00,0
2020-03-01 00:00:00,2020-04-01 00:00:00,0
2020-04-01 00:00:00,2020-05-01 00:00:00,7
2020-05-01 00:00:00,2020-06-01 00:00:00,1
2020-06-01 00:00:00,2020-07-01 00:00:00,4
2020-07-01 00:00:00,2020-08-01 00:00:00,0
2020-08-01 00:00:00,2020-09-01 00:00:00,17
2020-09-01 00:00:00,2020-10-01 00:00:00,4
2020-10-01 00:00:00,2020-11-01 00:00:00,91
2020-11-01 00:00:00,2020-12-01 00:00:00,170
2020-12-01 00:00:00,2021-01-01 00:00:00,104
2021-01-01 00:00:00,2021-02-01 00:00:00,47
2021-02-01 00:00:00,2021-03-01 00:00:00,48
2021-03-01 00:00:00,2021-04-01 00:00:00,51
2021-04-01 00:00:00,2021-05-01 00:00:00,143
2021-05-01 00:00:00,2021-06-01 00:00:00,193
2021-06-01 00:00:00,2021-07-01 00:00:00,101
2021-07-01 00:00:00,2021-08-01 00:00:00,176
2021-08-01 00:00:00,2021-09-01 00:00:00,136
2021-09-01 00:00:00,2021-10-01 00:00:00,220
2021-10-01 00:00:00,2021-11-01 00:00:00,165
2021-11-01 00:00:00,2021-12-01 00:00:00,4
2021-12-01 00:00:00,2022-01-01 00:00:00,16
2022-01-01 00:00:00,2022-02-01 00:00:00,5
2022-02-01 00:00:00,2022-03-01 00:00:00,6
2022-03-01 00:00:00,2022-04-01 00:00:00,12
2022-04-01 00:00:00,2022-05-01 00:00:00,13
2022-05-01 00:00:00,2022-06-01 00:00:00,31
2022-06-01 00:00:00,2022-07-01 00:00:00,33
2022-07-01 00:00:00,2022-08-01 00:00:00,45
2022-08-01 00:00:00,2022-09-01 00:00:00,26
2022-09-01 00:00:00,2022-10-01 00:00:00,33
2022-10-01 00:00:00,2022-11-01 00:00:00,24
2022-11-01 00:00:00,2022-12-01 00:00:00,4
2022-12-01 00:00:00,2023-01-01 00:00:00,19
2023-01-01 00:00:00,2023-02-01 00:00:00,27
2023-02-01 00:00:00,2023-03-01 00:00:00,28
2023-03-01 00:00:00,2023-04-01 00:00:00,33
2023-04-01 00:00:00,2023-05-01 00:00:00,23
2023-05-01 00:00:00,2023-06-01 00:00:00,38
2023-06-01 00:00:00,2023-07-01 00:00:00,34
2023-07-01 00:00:00,2023-08-01 00:00:00,51
2023-08-01 00:00:00,2023-09-01 00:00:00,35
2023-09-01 00:00:00,2023-10-01 00:00:00,33
2023-10-01 00:00:00,2023-11-01 00:00:00,21
2023-11-01 00:00:00,2023-12-01 00:00:00,8
2023-12-01 00:00:00,2024-01-01 00:00:00,24
